model_name= generate_cfg_from_synthese_file_Wscaled_aj
 --------------------------
  List of all combinations 
 --------------------------
#   id                Dnu          epsilon  delta0l_percent              HNR        a1ovGamma   Gamma_at_numax               a2               a3               a4               a5               a6        beta_asym                i
0000163               70              0.5               -5                5           0.3708                1                0                0                0                0                0                0           20.082
0000164               70              0.5               -5                5          0.16396                1                0                0                0                0                0                0           88.573
0000165               70              0.5               -5                5          0.37027                1                0                0                0                0                0                0           74.157
0000166               70              0.5               -5                5          0.76066                1                0                0                0                0                0                0           81.206
0000167               70              0.5               -5                5          0.33782                1                0                0                0                0                0                0           86.614
0000168               70              0.5               -5                5          0.26642                1                0                0                0                0                0                0           11.391
0000169               70              0.5               -5                5          0.54891                1                0                0                0                0                0                0           45.292
0000170               70              0.5               -5                5          0.63778                1                0                0                0                0                0                0           7.1957
0000171               70              0.5               -5                5          0.40914                1                0                0                0                0                0                0           18.674
0000172               70              0.5               -5                5          0.87601                1                0                0                0                0                0                0           28.046
0000173               70              0.5               -5                5          0.89983                1                0                0                0                0                0                0           14.257
0000174               70              0.5               -5                5          0.27496                1                0                0                0                0                0                0           78.753
0000175               70              0.5               -5                5          0.19404                1                0                0                0                0                0                0           7.0999
0000176               70              0.5               -5                5          0.63829                1                0                0                0                0                0                0           19.201
0000177               70              0.5               -5                5          0.23058                1                0                0                0                0                0                0           83.057
0000178               70              0.5               -5                5          0.80361                1                0                0                0                0                0                0           49.129
0000179               70              0.5               -5                5          0.80268                1                0                0                0                0                0                0           81.657
0000180               70              0.5               -5                5           0.2514                1                0                0                0                0                0                0           52.392
0000181               70              0.5               -5                5         0.070747                1                0                0                0                0                0                0           83.823
0000182               70              0.5               -5                5           0.2102                1                0                0                0                0                0                0           1.0035
0000183               70              0.5               -5                5          0.48811                1                0                0                0                0                0                0           6.3571
0000184               70              0.5               -5                5          0.18162                1                0                0                0                0                0                0           24.438
0000185               70              0.5               -5                5         0.080679                1                0                0                0                0                0                0           26.261
0000186               70              0.5               -5                5          0.57215                1                0                0                0                0                0                0           44.191
0000187               70              0.5               -5                5          0.11699                1                0                0                0                0                0                0            9.664
0000188               70              0.5               -5                5          0.78118                1                0                0                0                0                0                0           75.243
0000189               70              0.5               -5                5          0.71742                1                0                0                0                0                0                0           56.833
0000190               70              0.5               -5                5          0.12308                1                0                0                0                0                0                0           56.769
0000191               70              0.5               -5                5           0.9338                1                0                0                0                0                0                0           72.847
0000192               70              0.5               -5                5          0.70949                1                0                0                0                0                0                0           79.164
0000193               70              0.5               -5                5          0.26213                1                0                0                0                0                0                0           84.432
0000194               70              0.5               -5                5            0.364                1                0                0                0                0                0                0           47.202
0000195               70              0.5               -5                5          0.18173                1                0                0                0                0                0                0           50.102
0000196               70              0.5               -5                5          0.15948                1                0                0                0                0                0                0            42.04
0000197               70              0.5               -5                5          0.66007                1                0                0                0                0                0                0           20.366
